"old_id","new_id","level"
"CD4 Naive",NA,NA
"CD4 TCM",NA,NA
"CD4 TEM",NA,NA
"CD4 CTL",NA,NA
"CD4 Proliferating",NA,NA
"CD8 Naive",NA,NA
"CD8 TCM",NA,NA
"CD8 TEM",NA,NA
"CD8 Proliferating",NA,NA
"dnT",NA,NA
"gdT",NA,NA
"MAIT",NA,NA
"NK",NA,NA
"Treg",NA,NA
