old_id,new_id,level
CD8 Naive_2,CD8 TEM_1,1
CD8 TEM_1,CD8 TEM_2,2
CD8 TEM_2,CD8 TEM_3,3
CD8 TEM_3,CD8 TEM_4,4
CD8 TEM_4,CD8 TEM_5,5
CD8 TEM_5,CD8 TEM_6,6
CD8 TEM_6,CD8 TEM_7,7
